ENT,NOM_ENT,P11_1_12,P11_1_19,P11_1A_12,P11_1A_17,P11_1A_19,P11_1A_22,UPM_DIS
1,AGUASCALIENTES,2,2,7,7,6,7,1
1,AGUASCALIENTES,3,3,4,4,3,6,1
1,AGUASCALIENTES,2,3,8,9,5,8,1
1,AGUASCALIENTES,2,2,6,7,6,8,1
1,AGUASCALIENTES,2,2,6,NA,7,NA,2
1,AGUASCALIENTES,2,2,8,8,6,6,2
1,AGUASCALIENTES,2,1,8,8,9,8,2
1,AGUASCALIENTES,9,3,NA,NA,5,8,2
1,AGUASCALIENTES,4,4,1,2,1,1,3
1,AGUASCALIENTES,2,2,7,8,8,9,3
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,3
1,AGUASCALIENTES,4,4,1,3,1,1,3
1,AGUASCALIENTES,3,4,5,5,1,5,3
1,AGUASCALIENTES,4,4,1,3,1,5,4
1,AGUASCALIENTES,3,3,5,8,5,9,4
1,AGUASCALIENTES,2,1,8,8,9,8,4
1,AGUASCALIENTES,2,2,8,8,7,7,4
1,AGUASCALIENTES,3,3,5,8,4,7,5
1,AGUASCALIENTES,2,3,7,7,5,7,5
1,AGUASCALIENTES,3,3,5,8,4,5,5
1,AGUASCALIENTES,2,3,8,5,4,8,5
1,AGUASCALIENTES,3,4,5,5,2,8,5
1,AGUASCALIENTES,2,2,8,8,7,8,6
1,AGUASCALIENTES,3,3,5,8,4,8,6
1,AGUASCALIENTES,1,2,9,8,6,7,6
1,AGUASCALIENTES,2,2,7,7,7,8,7
1,AGUASCALIENTES,3,3,5,5,4,5,7
1,AGUASCALIENTES,3,2,5,8,8,7,7
1,AGUASCALIENTES,3,3,5,8,5,7,7
1,AGUASCALIENTES,2,2,7,8,6,7,7
1,AGUASCALIENTES,2,2,8,8,8,9,8
1,AGUASCALIENTES,2,2,8,8,8,9,8
1,AGUASCALIENTES,3,3,5,5,4,5,8
1,AGUASCALIENTES,2,2,8,7,6,10,8
1,AGUASCALIENTES,3,3,3,2,4,7,9
1,AGUASCALIENTES,2,2,8,8,8,5,9
1,AGUASCALIENTES,2,3,7,5,5,8,9
1,AGUASCALIENTES,4,4,2,1,1,2,9
1,AGUASCALIENTES,2,2,7,7,7,7,9
1,AGUASCALIENTES,2,2,6,8,8,8,10
1,AGUASCALIENTES,2,2,7,7,7,8,10
1,AGUASCALIENTES,4,4,1,1,1,1,10
1,AGUASCALIENTES,1,1,9,9,9,10,10
1,AGUASCALIENTES,2,3,6,6,5,6,10
1,AGUASCALIENTES,2,2,6,7,6,6,11
1,AGUASCALIENTES,2,2,8,8,8,8,11
1,AGUASCALIENTES,4,4,2,7,2,2,11
1,AGUASCALIENTES,4,3,1,5,5,1,11
1,AGUASCALIENTES,3,3,5,5,5,5,12
1,AGUASCALIENTES,2,2,7,7,7,NA,12
1,AGUASCALIENTES,2,2,8,8,8,9,12
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,12
1,AGUASCALIENTES,3,2,4,NA,6,7,12
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,13
1,AGUASCALIENTES,9,3,NA,4,4,7,13
1,AGUASCALIENTES,3,4,5,4,2,4,13
1,AGUASCALIENTES,2,4,6,8,1,2,13
1,AGUASCALIENTES,3,3,5,5,4,2,14
1,AGUASCALIENTES,2,3,6,NA,5,5,14
1,AGUASCALIENTES,2,2,7,6,6,8,14
1,AGUASCALIENTES,3,3,4,3,3,1,14
1,AGUASCALIENTES,1,1,9,9,9,9,14
1,AGUASCALIENTES,3,4,5,5,2,5,15
1,AGUASCALIENTES,4,4,2,8,2,5,15
1,AGUASCALIENTES,3,4,5,8,2,7,16
1,AGUASCALIENTES,2,3,8,8,5,5,16
1,AGUASCALIENTES,3,3,5,8,5,5,16
1,AGUASCALIENTES,3,4,5,8,2,5,16
1,AGUASCALIENTES,2,4,8,7,2,4,16
1,AGUASCALIENTES,3,3,5,8,4,8,17
1,AGUASCALIENTES,3,4,4,7,2,5,17
1,AGUASCALIENTES,3,2,5,10,7,10,17
1,AGUASCALIENTES,2,4,8,8,2,8,17
1,AGUASCALIENTES,3,3,5,8,5,10,17
1,AGUASCALIENTES,3,3,5,8,5,8,18
1,AGUASCALIENTES,2,4,7,8,2,8,18
1,AGUASCALIENTES,2,3,8,8,5,8,18
1,AGUASCALIENTES,3,3,5,7,5,7,18
1,AGUASCALIENTES,3,4,5,8,2,8,18
1,AGUASCALIENTES,3,3,5,8,5,8,19
1,AGUASCALIENTES,3,4,5,8,2,5,19
1,AGUASCALIENTES,3,4,5,5,2,8,19
1,AGUASCALIENTES,2,3,8,5,5,7,19
1,AGUASCALIENTES,3,3,5,8,5,8,19
1,AGUASCALIENTES,3,4,4,9,2,6,20
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,20
1,AGUASCALIENTES,4,4,2,2,2,2,20
1,AGUASCALIENTES,3,3,5,8,4,7,20
1,AGUASCALIENTES,4,4,2,3,2,5,21
1,AGUASCALIENTES,3,3,5,5,5,5,21
1,AGUASCALIENTES,2,2,8,9,8,9,21
1,AGUASCALIENTES,4,4,1,1,1,1,22
1,AGUASCALIENTES,3,4,3,3,1,6,22
1,AGUASCALIENTES,4,4,1,1,1,4,22
1,AGUASCALIENTES,3,4,4,2,2,7,23
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,23
1,AGUASCALIENTES,3,2,5,8,6,8,23
1,AGUASCALIENTES,2,4,6,6,1,7,23
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,24
1,AGUASCALIENTES,3,3,4,4,3,4,24
1,AGUASCALIENTES,2,4,7,7,2,8,25
1,AGUASCALIENTES,4,4,1,1,1,1,25
1,AGUASCALIENTES,9,1,NA,NA,10,10,25
1,AGUASCALIENTES,2,2,6,NA,7,NA,26
1,AGUASCALIENTES,3,4,3,3,1,5,26
1,AGUASCALIENTES,4,4,1,2,1,7,26
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,26
1,AGUASCALIENTES,4,4,1,7,1,7,27
1,AGUASCALIENTES,9,3,NA,NA,5,5,27
1,AGUASCALIENTES,3,3,5,7,5,7,27
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,27
1,AGUASCALIENTES,4,4,1,7,1,1,28
1,AGUASCALIENTES,2,4,6,3,2,7,28
1,AGUASCALIENTES,9,1,NA,NA,10,NA,28
1,AGUASCALIENTES,9,4,NA,1,2,2,29
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,29
1,AGUASCALIENTES,9,4,NA,NA,2,NA,29
1,AGUASCALIENTES,2,3,8,8,5,10,30
1,AGUASCALIENTES,3,3,5,8,5,8,30
1,AGUASCALIENTES,1,1,10,10,9,10,30
1,AGUASCALIENTES,3,4,5,8,2,8,30
1,AGUASCALIENTES,3,4,5,8,2,5,31
1,AGUASCALIENTES,3,3,5,5,5,8,31
1,AGUASCALIENTES,3,4,5,5,2,5,31
1,AGUASCALIENTES,2,3,8,5,5,8,31
1,AGUASCALIENTES,2,2,8,8,7,8,32
1,AGUASCALIENTES,3,3,5,3,3,5,32
1,AGUASCALIENTES,2,2,6,8,6,8,32
1,AGUASCALIENTES,1,1,9,9,9,8,33
1,AGUASCALIENTES,3,3,3,4,3,5,33
1,AGUASCALIENTES,2,3,7,7,4,7,33
1,AGUASCALIENTES,9,9,NA,NA,NA,3,33
1,AGUASCALIENTES,4,3,2,8,3,8,34
1,AGUASCALIENTES,3,4,5,8,2,5,34
1,AGUASCALIENTES,3,3,5,8,5,8,34
1,AGUASCALIENTES,3,4,5,5,2,5,34
1,AGUASCALIENTES,2,2,8,8,8,8,35
1,AGUASCALIENTES,3,4,5,7,2,7,35
1,AGUASCALIENTES,2,1,8,8,10,8,35
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,36
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,36
1,AGUASCALIENTES,4,4,2,1,1,1,36
1,AGUASCALIENTES,2,2,8,9,7,8,36
1,AGUASCALIENTES,3,4,5,7,2,5,37
1,AGUASCALIENTES,3,3,5,8,5,8,37
1,AGUASCALIENTES,2,2,8,8,7,8,37
1,AGUASCALIENTES,2,3,8,8,5,8,37
1,AGUASCALIENTES,3,3,5,8,5,5,37
1,AGUASCALIENTES,2,3,8,8,5,8,38
1,AGUASCALIENTES,3,3,5,5,5,5,38
1,AGUASCALIENTES,4,3,2,7,3,4,38
1,AGUASCALIENTES,2,3,8,9,4,10,38
1,AGUASCALIENTES,3,4,5,8,2,8,38
1,AGUASCALIENTES,3,3,5,8,4,8,39
1,AGUASCALIENTES,3,3,5,7,5,8,39
1,AGUASCALIENTES,3,4,5,5,2,5,39
1,AGUASCALIENTES,3,4,5,5,1,8,39
1,AGUASCALIENTES,3,3,5,9,4,6,40
1,AGUASCALIENTES,2,2,7,7,7,7,40
1,AGUASCALIENTES,2,4,8,8,2,5,40
1,AGUASCALIENTES,4,3,2,5,4,2,40
1,AGUASCALIENTES,2,4,6,7,2,7,40
1,AGUASCALIENTES,9,3,NA,NA,3,NA,41
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,41
1,AGUASCALIENTES,3,3,5,3,4,4,41
1,AGUASCALIENTES,3,4,3,7,2,6,41
1,AGUASCALIENTES,4,4,1,1,2,1,42
1,AGUASCALIENTES,2,2,7,8,7,NA,42
1,AGUASCALIENTES,2,2,8,7,7,8,42
1,AGUASCALIENTES,2,2,7,8,8,7,42
1,AGUASCALIENTES,9,4,NA,NA,1,NA,42
1,AGUASCALIENTES,3,4,5,8,2,5,43
1,AGUASCALIENTES,3,4,5,5,2,2,43
1,AGUASCALIENTES,2,3,8,8,5,5,43
1,AGUASCALIENTES,3,4,5,5,2,2,43
1,AGUASCALIENTES,3,1,4,5,9,5,43
1,AGUASCALIENTES,3,4,4,3,1,7,44
1,AGUASCALIENTES,4,3,2,8,4,9,44
1,AGUASCALIENTES,1,4,9,NA,1,8,44
1,AGUASCALIENTES,4,4,1,1,1,NA,44
1,AGUASCALIENTES,3,3,5,5,5,5,45
1,AGUASCALIENTES,3,3,5,5,5,5,45
1,AGUASCALIENTES,3,3,5,5,5,5,45
1,AGUASCALIENTES,4,4,1,4,1,1,45
1,AGUASCALIENTES,3,3,5,7,5,5,45
1,AGUASCALIENTES,3,2,4,7,6,7,46
1,AGUASCALIENTES,4,4,1,NA,1,NA,46
1,AGUASCALIENTES,4,3,2,6,5,5,46
1,AGUASCALIENTES,9,2,NA,NA,6,NA,46
1,AGUASCALIENTES,3,4,4,4,2,3,46
1,AGUASCALIENTES,2,2,7,7,7,7,47
1,AGUASCALIENTES,3,4,5,9,1,10,47
1,AGUASCALIENTES,3,3,5,7,5,5,47
1,AGUASCALIENTES,2,2,8,8,8,9,47
1,AGUASCALIENTES,3,2,4,7,7,9,48
1,AGUASCALIENTES,1,2,9,9,8,8,48
1,AGUASCALIENTES,3,4,5,8,1,5,48
1,AGUASCALIENTES,9,2,NA,8,7,5,48
1,AGUASCALIENTES,2,2,8,8,7,8,48
1,AGUASCALIENTES,3,4,4,4,2,2,49
1,AGUASCALIENTES,3,3,5,5,5,7,49
1,AGUASCALIENTES,4,4,1,2,1,2,49
1,AGUASCALIENTES,4,3,1,1,3,6,49
1,AGUASCALIENTES,9,3,NA,1,4,NA,49
1,AGUASCALIENTES,2,3,7,9,5,8,50
1,AGUASCALIENTES,3,3,5,7,5,8,50
1,AGUASCALIENTES,3,3,5,7,5,9,50
1,AGUASCALIENTES,4,4,1,1,1,1,51
1,AGUASCALIENTES,4,3,2,3,3,2,51
1,AGUASCALIENTES,2,3,8,4,5,10,51
1,AGUASCALIENTES,4,3,1,NA,4,NA,51
1,AGUASCALIENTES,4,4,1,7,1,NA,52
1,AGUASCALIENTES,9,2,NA,NA,7,NA,52
1,AGUASCALIENTES,4,4,2,3,2,2,52
1,AGUASCALIENTES,4,4,1,1,1,1,52
1,AGUASCALIENTES,2,2,7,7,7,7,53
1,AGUASCALIENTES,3,3,5,5,5,6,53
1,AGUASCALIENTES,3,4,3,4,2,4,53
1,AGUASCALIENTES,1,3,9,4,4,7,53
1,AGUASCALIENTES,4,4,2,4,2,4,54
1,AGUASCALIENTES,3,4,3,2,2,1,54
1,AGUASCALIENTES,2,4,8,8,1,7,55
1,AGUASCALIENTES,5,4,NA,2,2,2,55
1,AGUASCALIENTES,4,3,2,5,5,5,55
1,AGUASCALIENTES,2,2,8,8,8,8,55
1,AGUASCALIENTES,4,2,2,2,7,2,55
1,AGUASCALIENTES,4,4,2,2,2,5,56
1,AGUASCALIENTES,2,4,7,4,2,2,56
1,AGUASCALIENTES,4,4,1,2,1,1,56
1,AGUASCALIENTES,3,4,4,3,1,2,56
1,AGUASCALIENTES,4,4,2,2,2,7,56
1,AGUASCALIENTES,2,2,8,8,8,10,57
1,AGUASCALIENTES,4,4,2,NA,2,7,57
1,AGUASCALIENTES,3,4,4,4,2,2,57
1,AGUASCALIENTES,3,3,4,4,4,5,57
1,AGUASCALIENTES,4,4,2,5,2,2,57
1,AGUASCALIENTES,4,4,2,8,2,7,58
1,AGUASCALIENTES,3,3,4,4,4,7,58
1,AGUASCALIENTES,2,3,7,4,4,8,58
1,AGUASCALIENTES,3,3,5,5,5,5,59
1,AGUASCALIENTES,4,3,2,4,4,4,59
1,AGUASCALIENTES,3,3,4,4,5,4,59
1,AGUASCALIENTES,4,4,2,4,1,2,59
1,AGUASCALIENTES,3,3,4,2,4,2,59
1,AGUASCALIENTES,4,4,1,1,1,1,60
1,AGUASCALIENTES,2,2,8,8,8,9,60
1,AGUASCALIENTES,2,2,8,8,8,8,60
1,AGUASCALIENTES,3,3,4,4,4,4,60
1,AGUASCALIENTES,9,9,NA,NA,NA,7,60
1,AGUASCALIENTES,3,3,5,7,5,5,61
1,AGUASCALIENTES,2,2,7,7,7,7,61
1,AGUASCALIENTES,4,3,2,7,4,5,61
1,AGUASCALIENTES,2,2,8,5,8,8,61
1,AGUASCALIENTES,2,2,8,8,7,5,61
1,AGUASCALIENTES,4,4,2,2,2,2,62
1,AGUASCALIENTES,2,3,7,6,5,7,62
1,AGUASCALIENTES,2,4,6,5,2,6,62
1,AGUASCALIENTES,9,2,NA,6,6,7,62
1,AGUASCALIENTES,4,4,2,4,2,2,62
1,AGUASCALIENTES,9,4,NA,NA,2,4,63
1,AGUASCALIENTES,3,3,5,6,4,6,63
1,AGUASCALIENTES,3,9,5,NA,NA,NA,63
1,AGUASCALIENTES,4,4,2,2,2,3,63
1,AGUASCALIENTES,3,4,5,5,2,5,63
1,AGUASCALIENTES,4,4,2,5,1,8,64
1,AGUASCALIENTES,3,3,3,5,5,5,64
1,AGUASCALIENTES,9,4,NA,NA,2,NA,64
1,AGUASCALIENTES,9,9,NA,NA,NA,NA,64
1,AGUASCALIENTES,9,4,NA,5,2,5,64
